# S1,S2,S3,S4,Weight
7.400000000000000000e+01,1.020000000000000000e+02,1.150000000000000000e+02,1.160000000000000000e+02,-4.375277881466130281e-01
5.900000000000000000e+01,6.000000000000000000e+01,7.400000000000000000e+01,1.020000000000000000e+02,-1.741397834296508906e-01
5.900000000000000000e+01,7.300000000000000000e+01,7.400000000000000000e+01,1.150000000000000000e+02,2.389892436824712918e-02
5.900000000000000000e+01,7.400000000000000000e+01,1.020000000000000000e+02,1.150000000000000000e+02,-1.321606699458604262e-01
6.000000000000000000e+01,6.100000000000000000e+01,7.400000000000000000e+01,1.020000000000000000e+02,-5.148201716564168029e-01
6.100000000000000000e+01,7.400000000000000000e+01,7.500000000000000000e+01,1.170000000000000000e+02,-8.571641129380783708e-01
7.400000000000000000e+01,1.020000000000000000e+02,1.160000000000000000e+02,1.170000000000000000e+02,-7.123707036733670783e-01
6.100000000000000000e+01,1.020000000000000000e+02,1.030000000000000000e+02,1.170000000000000000e+02,-8.571641129380783708e-01
6.100000000000000000e+01,7.400000000000000000e+01,1.020000000000000000e+02,1.170000000000000000e+02,-7.435455373944550583e-01
6.100000000000000000e+01,1.030000000000000000e+02,1.040000000000000000e+02,1.170000000000000000e+02,-9.849578031188707117e-01
7.600000000000000000e+01,1.040000000000000000e+02,1.170000000000000000e+02,1.180000000000000000e+02,-9.566261774516161553e-01
6.100000000000000000e+01,6.200000000000000000e+01,7.600000000000000000e+01,1.040000000000000000e+02,-9.949946980158765886e-01
6.100000000000000000e+01,7.500000000000000000e+01,7.600000000000000000e+01,1.170000000000000000e+02,-9.849578031188707117e-01
6.100000000000000000e+01,7.600000000000000000e+01,1.040000000000000000e+02,1.170000000000000000e+02,-9.999937290065045170e-01
6.200000000000000000e+01,6.300000000000000000e+01,7.600000000000000000e+01,1.040000000000000000e+02,-8.852507661210228251e-01
6.300000000000000000e+01,7.600000000000000000e+01,7.700000000000000000e+01,1.190000000000000000e+02,-5.775581895979635672e-01
7.600000000000000000e+01,1.040000000000000000e+02,1.180000000000000000e+02,1.190000000000000000e+02,-7.867051594697478389e-01
6.300000000000000000e+01,1.040000000000000000e+02,1.050000000000000000e+02,1.190000000000000000e+02,-5.775581895979635672e-01
